Repetition,"Start date","End date",Duration,Benchmark,"Class","Zram % (gb)","Tempo de CPU","Memoria media (KB)","Falhas maiores","Falhas menores",Swaps,"Troca de contextos","Troca de contextos voluntarias","Uso de cpu"
1,"11/11/2024 19:04:47","11/11/2024 19:04:47","0:00.00","is","S","  0% ( 0 gb)","0.00","0","0","248","0","2","2","671%"
1,"11/11/2024 19:04:57","11/11/2024 19:04:58","0:00.00","is","S"," 50% ( 0 gb)","0.00","0","0","245","0","3","0","557%"
1,"11/11/2024 19:05:08","11/11/2024 19:05:08","0:00.13","ep","S","  0% ( 0 gb)","0.01","0","5","2221","0","9","20","506%"
1,"11/11/2024 19:05:18","11/11/2024 19:05:19","0:00.10","ep","S"," 50% ( 0 gb)","0.00","0","0","2224","0","9","16","638%"
1,"11/11/2024 19:05:29","11/11/2024 19:05:29","0:00.01","cg","S","  0% ( 0 gb)","0.00","0","0","714","0","45","5","688%"
1,"11/11/2024 19:05:40","11/11/2024 19:05:40","0:00.01","cg","S"," 50% ( 0 gb)","0.00","0","0","726","0","47","9","663%"
1,"11/11/2024 19:05:51","11/11/2024 19:05:51","0:00.00","mg","S","  0% ( 0 gb)","0.00","0","0","454","0","39","1","385%"
1,"11/11/2024 19:06:02","11/11/2024 19:06:02","0:00.00","mg","S"," 50% ( 0 gb)","0.01","0","0","453","0","2","0","371%"
1,"11/11/2024 19:06:12","11/11/2024 19:06:12","0:00.03","ft","S","  0% ( 0 gb)","0.02","0","0","2915","0","53","37","678%"
1,"11/11/2024 19:06:23","11/11/2024 19:06:23","0:00.02","ft","S"," 50% ( 0 gb)","0.01","0","0","2915","0","51","16","707%"
1,"11/11/2024 19:06:38","11/11/2024 19:06:38","0:00.02","bt","S","  0% ( 0 gb)","0.00","0","0","291","0","64","2","683%"
1,"11/11/2024 19:06:48","11/11/2024 19:06:48","0:00.02","bt","S"," 50% ( 0 gb)","0.00","0","0","298","0","56","6","692%"
1,"11/11/2024 19:07:03","11/11/2024 19:07:03","0:00.02","sp","S","  0% ( 0 gb)","0.00","0","0","279","0","63","17","600%"
1,"11/11/2024 19:07:14","11/11/2024 19:07:14","0:00.01","sp","S"," 50% ( 0 gb)","0.00","0","0","274","0","59","1","668%"
1,"11/11/2024 19:07:29","11/11/2024 19:07:29","0:00.01","lu","S","  0% ( 0 gb)","0.00","0","0","261","0","62","1","655%"
1,"11/11/2024 19:07:39","11/11/2024 19:07:39","0:00.01","lu","S"," 50% ( 0 gb)","0.00","0","0","267","0","59","1","663%"
1,"11/11/2024 19:07:49","11/11/2024 19:07:50","0:00.01","lu","S","  0% ( 0 gb)","0.00","0","0","265","0","59","1","678%"
1,"11/11/2024 19:08:00","11/11/2024 19:08:00","0:00.01","lu","S"," 50% ( 0 gb)","0.00","0","0","265","0","61","2","678%"
1,"11/11/2024 19:08:18","11/11/2024 19:08:18","0:00.13","ua","S","  0% ( 0 gb)","0.01","0","0","1300","0","60","19","773%"
1,"11/11/2024 19:08:28","11/11/2024 19:08:29","0:00.14","ua","S"," 50% ( 0 gb)","0.00","0","0","1306","0","58","18","778%"
