Repetition,"Start date","End date",Duration,Benchmark,"Class","Zram % (gb)","Tempo de CPU","Memoria media (KB)","Falhas maiores","Falhas menores",Swaps,"Troca de contextos","Troca de contextos voluntarias","Uso de cpu"
1,"06/03/2025 14:44:08","ERRO NA EXECUCAO","0","bt","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 14:48:03","ERRO NA EXECUCAO","0","bt","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 14:49:40","06/03/2025 14:56:46","3:32.68","bt","C"," 25% ( 0 gb)","0.73","0","81475","214141","0","7597","89","398%"
2,"06/03/2025 14:56:46","ERRO NA EXECUCAO","0","bt","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:03:19","06/03/2025 15:10:25","3:32.83","bt","C"," 50% ( 0 gb)","1.63","0","148613","284951","0","6052","54","398%"
2,"06/03/2025 15:10:25","06/03/2025 15:18:38","3:30.59","bt","C"," 50% ( 0 gb)","0.40","0","2","176576","0","5025","9","399%"
1,"06/03/2025 15:18:50","ERRO NA EXECUCAO","0","bt","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:18:56","ERRO NA EXECUCAO","0","bt","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:19:26","ERRO NA EXECUCAO","0","bt","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:19:36","ERRO NA EXECUCAO","0","bt","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:20:19","ERRO NA EXECUCAO","0","cg","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:20:33","ERRO NA EXECUCAO","0","cg","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:20:58","ERRO NA EXECUCAO","0","cg","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:21:09","ERRO NA EXECUCAO","0","cg","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:21:31","ERRO NA EXECUCAO","0","cg","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:21:43","ERRO NA EXECUCAO","0","cg","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:22:06","ERRO NA EXECUCAO","0","cg","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:22:16","ERRO NA EXECUCAO","0","cg","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:22:39","ERRO NA EXECUCAO","0","cg","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:22:53","ERRO NA EXECUCAO","0","cg","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:23:17","06/03/2025 15:23:59","0:21.06","ep","C","  0% ( 0 gb)","0.00","0","6","1185","0","572","15","385%"
2,"06/03/2025 15:23:59","06/03/2025 15:24:39","0:20.06","ep","C","  0% ( 0 gb)","0.00","0","0","1186","0","492","4","399%"
1,"06/03/2025 15:24:49","06/03/2025 15:25:29","0:20.13","ep","C"," 25% ( 0 gb)","0.00","0","0","1189","0","614","4","399%"
2,"06/03/2025 15:25:29","06/03/2025 15:26:17","0:20.08","ep","C"," 25% ( 0 gb)","0.00","0","0","1181","0","437","5","399%"
1,"06/03/2025 15:26:27","06/03/2025 15:27:08","0:20.12","ep","C"," 50% ( 0 gb)","0.00","0","0","1188","0","441","4","399%"
2,"06/03/2025 15:27:08","06/03/2025 15:27:48","0:20.12","ep","C"," 50% ( 0 gb)","0.00","0","0","1187","0","874","3","399%"
1,"06/03/2025 15:27:58","06/03/2025 15:28:39","0:20.10","ep","C"," 75% ( 0 gb)","0.00","0","0","1184","0","459","4","399%"
2,"06/03/2025 15:28:39","06/03/2025 15:29:28","0:20.98","ep","C"," 75% ( 0 gb)","0.00","0","0","1182","0","608","6","387%"
1,"06/03/2025 15:29:38","06/03/2025 15:30:18","0:20.13","ep","C","100% ( 0 gb)","0.00","0","0","1185","0","434","5","399%"
2,"06/03/2025 15:30:18","06/03/2025 15:31:06","0:27.77","ep","C","100% ( 0 gb)","0.00","0","0","1188","0","478","5","316%"
1,"06/03/2025 15:31:16","06/03/2025 15:31:17","0:00.00","ft","C","  0% ( 0 gb)","0.00","0","0","120","0","0","1","100%"
2,"06/03/2025 15:31:17","06/03/2025 15:31:17","0:00.00","ft","C","  0% ( 0 gb)","0.00","0","0","117","0","0","1","50%"
1,"06/03/2025 15:31:27","06/03/2025 15:31:27","0:00.00","ft","C"," 25% ( 0 gb)","0.00","0","0","117","0","1","1","100%"
2,"06/03/2025 15:31:27","06/03/2025 15:31:27","0:00.00","ft","C"," 25% ( 0 gb)","0.00","0","0","122","0","0","1","100%"
1,"06/03/2025 15:31:37","06/03/2025 15:31:37","0:00.00","ft","C"," 50% ( 0 gb)","0.00","0","0","119","0","0","1","100%"
2,"06/03/2025 15:31:37","06/03/2025 15:31:37","0:00.00","ft","C"," 50% ( 0 gb)","0.00","0","0","119","0","0","1","100%"
1,"06/03/2025 15:31:48","06/03/2025 15:31:48","0:00.00","ft","C"," 75% ( 0 gb)","0.00","0","0","119","0","0","1","100%"
2,"06/03/2025 15:31:48","06/03/2025 15:31:48","0:00.00","ft","C"," 75% ( 0 gb)","0.00","0","0","119","0","0","1","100%"
1,"06/03/2025 15:31:58","06/03/2025 15:31:58","0:00.00","ft","C","100% ( 0 gb)","0.00","0","0","119","0","0","1","100%"
2,"06/03/2025 15:31:58","06/03/2025 15:31:58","0:00.00","ft","C","100% ( 0 gb)","0.00","0","0","121","0","0","1","100%"
1,"06/03/2025 15:32:08","ERRO NA EXECUCAO","0","is","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:32:08","ERRO NA EXECUCAO","0","is","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:32:19","ERRO NA EXECUCAO","0","is","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:32:29","ERRO NA EXECUCAO","0","is","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:32:53","ERRO NA EXECUCAO","0","is","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:33:03","ERRO NA EXECUCAO","0","is","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:33:26","ERRO NA EXECUCAO","0","is","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:33:37","ERRO NA EXECUCAO","0","is","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:34:00","ERRO NA EXECUCAO","0","is","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:34:13","ERRO NA EXECUCAO","0","is","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 15:34:38","ERRO NA EXECUCAO","0","lu","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:37:05","06/03/2025 15:42:05","2:26.04","lu","C","  0% ( 0 gb)","1.64","0","1019","144346","0","181657","3086","381%"
1,"06/03/2025 15:42:16","ERRO NA EXECUCAO","0","lu","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 15:45:27","06/03/2025 15:50:28","2:31.55","lu","C"," 25% ( 0 gb)","1.60","0","25337","154104","0","204799","369","378%"
1,"06/03/2025 15:50:40","06/03/2025 15:55:33","2:22.61","lu","C"," 50% ( 0 gb)","2.05","0","192","143063","0","318899","129","390%"
2,"06/03/2025 15:55:33","06/03/2025 16:00:39","2:32.39","lu","C"," 50% ( 0 gb)","2.16","0","119355","177766","0","210835","479","378%"
1,"06/03/2025 16:00:51","06/03/2025 16:05:57","2:33.34","lu","C"," 75% ( 0 gb)","2.23","0","112451","200752","0","206432","538","376%"
2,"06/03/2025 16:05:57","06/03/2025 16:10:25","2:14.60","lu","C"," 75% ( 0 gb)","0.44","0","4402","146529","0","17704","177","397%"
1,"06/03/2025 16:10:36","06/03/2025 16:15:00","2:12.06","lu","C","100% ( 0 gb)","0.28","0","0","143024","0","3386","7","399%"
2,"06/03/2025 16:15:00","06/03/2025 16:19:25","2:12.24","lu","C","100% ( 0 gb)","0.27","0","0","143025","0","3349","4","399%"
1,"06/03/2025 16:19:35","06/03/2025 16:19:35","0:00.00","mg","C","  0% ( 0 gb)","0.00","0","0","130","0","0","1","100%"
2,"06/03/2025 16:19:35","06/03/2025 16:19:35","0:00.00","mg","C","  0% ( 0 gb)","0.00","0","0","130","0","0","1","100%"
1,"06/03/2025 16:19:46","ERRO NA EXECUCAO","0","mg","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:19:48","ERRO NA EXECUCAO","0","mg","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:20:03","ERRO NA EXECUCAO","0","mg","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:20:06","ERRO NA EXECUCAO","0","mg","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:20:21","ERRO NA EXECUCAO","0","mg","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:20:25","ERRO NA EXECUCAO","0","mg","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:20:40","ERRO NA EXECUCAO","0","mg","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:20:43","ERRO NA EXECUCAO","0","mg","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:20:59","ERRO NA EXECUCAO","0","sp","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:21:01","ERRO NA EXECUCAO","0","sp","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:21:16","ERRO NA EXECUCAO","0","sp","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:21:19","ERRO NA EXECUCAO","0","sp","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:21:41","ERRO NA EXECUCAO","0","sp","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:21:45","ERRO NA EXECUCAO","0","sp","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:22:04","ERRO NA EXECUCAO","0","sp","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:22:08","ERRO NA EXECUCAO","0","sp","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:22:24","ERRO NA EXECUCAO","0","sp","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"06/03/2025 16:22:29","ERRO NA EXECUCAO","0","sp","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"06/03/2025 16:22:46","06/03/2025 16:28:53","3:03.57","ua","C","  0% ( 0 gb)","0.30","0","6","123357","0","5207","212","399%"
2,"06/03/2025 16:28:53","06/03/2025 16:35:01","3:03.69","ua","C","  0% ( 0 gb)","0.27","0","0","123357","0","4652","204","399%"
1,"06/03/2025 16:35:11","06/03/2025 16:41:18","3:03.61","ua","C"," 25% ( 0 gb)","0.28","0","0","123366","0","4183","204","399%"
2,"06/03/2025 16:41:18","06/03/2025 16:47:26","3:03.54","ua","C"," 25% ( 0 gb)","0.29","0","0","123355","0","5250","202","399%"
1,"06/03/2025 16:47:36","06/03/2025 16:53:43","3:03.71","ua","C"," 50% ( 0 gb)","0.28","0","0","123370","0","4474","203","399%"
2,"06/03/2025 16:53:43","06/03/2025 16:59:51","3:03.89","ua","C"," 50% ( 0 gb)","0.29","0","0","123360","0","4436","202","399%"
1,"06/03/2025 17:00:01","06/03/2025 17:06:09","3:03.84","ua","C"," 75% ( 0 gb)","0.31","0","0","123362","0","4347","204","399%"
